,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
5700,0.61,1950,0.872,['Stubby Kaye'],0.532,131780,0.274,0,0FZTQz25rZsKmooi1gry4F,0.194,5,0.713,-21.249,1,"Sit Down, You're Rockin' The Boat (from ""Guys & Dolls"")",12,1950,0.119,128.809
89031,0.051,2004,0.98,['Fred Mollin'],0.456,270200,0.0646,0,2Kij021y6biW8YWwTM82Xo,0.843,1,0.11,-19.354,1,You'll Be In My Heart - Instrumental,48,2004-09-14,0.03,83.929
142280,0.188,1950,0.978,"['Nicolas Flagello', 'Richard Tucker', 'Columbia Symphony Orchestra']",0.305,169360,0.306,0,1hMrOrqyk7RRQVvDvGXzxB,0.00012,8,0.0746,-9.698,1,La bella aurora - Voice,0,1950,0.0323,64.635
136686,0.967,1999,0.282,"['""Weird Al"" Yankovic']",0.6559999999999999,239120,0.8059999999999999,0,1dZcanlE0rmnVttPxCzmd6,0.0,0,0.134,-8.103,1,Your Horoscope for Today,37,1999-06-29,0.0991,186.499
235,0.412,1923,0.993,['Bessie Smith'],0.516,198053,0.146,0,2gyqc4p3WoxKsc6zaXF4hM,0.0223,2,0.172,-8.985,1,Backwater Blues,20,1923,0.0454,71.14399999999998
46536,0.424,1966,0.855,['Nina Simone'],0.274,147907,0.377,0,5uI8omnLtzW4xTqJ5AoQtT,1.01e-06,3,0.139,-11.386,1,That's All I Ask,33,1966-09-16,0.0387,183.342
29733,0.306,1976,0.1669999999999999,['Bob Dylan'],0.531,224733,0.473,0,4WOruM7TiQSETsWYy8bDSX,2e-06,9,0.0899,-9.477,0,One More Cup of Coffee,56,1976-01-16,0.0305,139.17600000000002
145088,0.83,1967,0.0334,"['The Velvet Underground', 'Nico']",0.679,279520,0.635,0,0sJTrjOEyxt0k3pn1FiQUb,0.871,7,0.15,-9.792,1,I'm Waiting For The Man,22,1967-03-12,0.0433,125.831
29779,0.438,1976,0.272,['KISS'],0.414,253840,0.878,0,2CJ9wTckMqRjjVVSLTs8QZ,0.000332,11,0.456,-6.157,1,God Of Thunder,49,1976-03-15,0.0378,99.804
68014,0.441,1984,0.637,['Everything But The Girl'],0.411,168467,0.7120000000000001,0,5QWexGWc05oS95sUJ4braI,0.0,8,0.0622,-6.377000000000002,0,Each and Every One - 2012 Remaster,35,1984-06-04,0.0449,142.991
414,0.688,1924,0.94,"['Bix Beiderbecke', 'Hoagy Carmichael & His Orchestra']",0.61,169000,0.784,0,0B6ttII7PpRQXgreuJCLv1,0.105,8,0.0835,-8.734,1,Barnacle Bill The Sailor,5,1924,0.266,131.186
76458,0.7609999999999999,1936,0.988,['Count Basie'],0.574,205360,0.171,0,5re8opL2bLPy4N6xDmMkSc,0.889,1,0.298,-16.114,1,Easy Does It,2,1936,0.0808,142.145
66057,0.303,1975,0.626,['Joni Mitchell'],0.545,215960,0.286,0,7CD5VhE2AWbCxqYHmpYoSi,9.29e-06,0,0.114,-15.439,0,Edith and the Kingpin,39,1975-11-01,0.0269,100.465
21644,0.526,1934,0.185,['Why Not'],0.789,286853,0.366,0,4DFcVahVfx8Xv8u0vmgHjW,0.0,2,0.0986,-10.291,1,Angel,0,1934,0.0358,99.989
88176,0.516,2000,0.0333,['Big Moe'],0.764,244440,0.7390000000000001,1,2t14hckwDdy45OKVv957Tn,0.0,1,0.155,-8.533999999999999,1,Maan! (feat. E.S.G. & Big Pokey),41,2000-07-25,0.5529999999999999,182.036
35953,0.961,2007,0.0723,['Aretha Franklin'],0.7440000000000001,142187,0.612,0,5AoTuHE5P5bvC7BBppYnja,0.000532,0,0.0692,-6.386,1,Respect - 2003 Remaster,65,2007-10-30,0.0333,114.991
130605,0.8,1969,0.616,['Ramsey Lewis Trio'],0.578,161667,0.731,0,700DoF6T7zTI5guNMhaLIZ,0.8370000000000001,7,0.342,-10.339,1,Do What You Wanna,27,1969-01-01,0.062,115.343
53093,0.162,1999,0.647,['Muse'],0.487,237027,0.279,0,6kyxQuFD38mo4S3urD2Wkw,0.00185,6,0.11,-11.586,0,Unintended,62,1999,0.0265,139.362
72910,0.294,2009,0.915,['Boyz II Men'],0.3,168627,0.225,0,264JdkdtNRAGL4M4PnDYHC,0.0,4,0.159,-11.079,1,It's So Hard To Say Goodbye To Yesterday,51,2009-01-01,0.0264,87.698
124647,0.602,2019,0.0104,['DaBaby'],0.8009999999999999,115610,0.693,1,3e39X4Q74yJzsYUEeyf4ws,0.0,0,0.376,-4.002,1,OFF THE RIP,62,2019-09-27,0.3229999999999999,164.084
98109,0.964,1967,0.754,['The Monkees'],0.55,131280,0.835,0,0ZdujSM8PcEsHiRTsDE4vU,0.00103,2,0.198,-7.5,1,For Pete's Sake (Closing Theme) - 2007 Remaster,23,1967-05-22,0.0758,146.089
101397,0.406,1983,0.7909999999999999,['Jagjit Singh'],0.447,345043,0.394,0,7LEDLEAUTaMd4MdEcwdtnd,0.0,8,0.0948,-8.762,1,Hey Govinda Hey Gopala,38,1983-06-17,0.0247,104.112
132562,0.419,1979,0.308,['Carly Simon'],0.581,254733,0.55,0,6WYJ8jS4f1hXXOatOji6PE,0.0,4,0.0721,-9.539,0,Just Like You Do,39,1979,0.0293,109.751
104937,0.955,2001,0.675,['Zacarias Ferreira'],0.841,262733,0.598,0,2k55ivVZmFWDsY0ky7FZ09,0.000723,7,0.159,-6.884,1,Adios,43,2001,0.0321,128.18
56155,0.112,2014,0.0212,['Kari Jobe'],0.268,409987,0.6970000000000001,0,1z5xgcRgxxGEKrXUCEFpA9,4.58e-06,8,0.38,-5.886,1,Forever - Live,59,2014-01-01,0.0422,144.01
88023,0.593,1999,0.0533,['Brooks & Dunn'],0.623,298480,0.728,0,7HqhT4ypX2EIPD7gCjWS05,7.8e-05,7,0.127,-5.6320000000000014,1,Against The Wind,44,1999-11-02,0.0248,107.357
15860,0.8690000000000001,2001,0.00793,['Modjo'],0.72,307154,0.8079999999999999,0,49X0LAl6faAusYq02PRAY6,0.0293,6,0.0634,-5.627000000000002,1,Lady - Hear Me Tonight,73,2001,0.0379,126.041
3984,0.508,1941,0.995,"['Ludwig van Beethoven', 'Claudio Arrau']",0.506,62027,0.0189,0,0cG1c18mIe06Fzn3l0K08f,0.851,3,0.0947,-33.705,1,"Variations and Fugue in E-Flat Major, Op. 35 ""Eroica Variations"": Variation V",0,1941,0.0597,67.66199999999999
98874,0.486,1971,0.908,['Townes Van Zandt'],0.4970000000000001,152013,0.0882,0,5g0QhEDLGS2yPxZ8z0XCHf,0.0327,4,0.124,-22.933000000000003,1,Only Him or Me,28,1971,0.0374,142.438
77006,0.374,1941,0.979,"['Vatsala Kumthekar', 'Kantilal']",0.588,191425,0.188,0,77Z5fgssD5rvngOFApJiD6,6.720000000000001e-05,8,0.156,-9.189,1,Woh Baat Ki Hai Tune,0,1941-12-31,0.186,68.477
128715,0.534,1959,0.721,['Harry Belafonte'],0.595,389013,0.306,0,0SAvm6tDaA6KRsvcwuWw8w,0.0,7,0.7909999999999999,-16.554000000000002,1,Man Piaba - Live,11,1959-07-01,0.943,87.236
33603,0.32,1995,0.000124,['blink-182'],0.261,194960,0.8220000000000001,0,3gVXAW2pduBl7tzjAGUVRb,0.000344,2,0.0919,-8.288,1,Carousel,54,1995,0.0358,103.213
107153,0.325,2012,0.493,['Whitney Houston'],0.266,285000,0.539,0,3S3dZXxNGghLtOqehzHtii,0.0,0,0.0964,-6.738,1,One Moment in Time,55,2012-11-12,0.0333,155.484
21494,0.8270000000000001,1933,0.992,['Champion Jack Dupree'],0.675,190107,0.316,0,1C1OaZ4ip2Fmshz4i92GPm,0.116,7,0.107,-7.952000000000001,1,Fisherman's Blues,0,1933,0.0533,113.122
136041,0.698,1996,0.0668,['Lisa Stansfield'],0.54,301973,0.82,0,1YwM86VfyDhJv5obDMMjp5,4.67e-06,11,0.5579999999999999,-6.215,0,"Never, Never Gonna Give You Up",50,1996,0.0725,84.71600000000002
169195,0.529,2013,0.422,['Mini Thin'],0.616,220615,0.679,1,2Kzq5gPlQEdLbkhLWnkoie,0.0,1,0.0718,-10.836,1,Meth Labs & Moonshine,45,2013-02-24,0.541,178.96200000000005
9024,0.307,1967,0.8140000000000001,['The Mamas & The Papas'],0.396,178733,0.452,0,1mFrjW8e8fuAOowlU3Q3Dr,0.0,7,0.192,-8.809,1,Dedicated To The One I Love,64,1967-01-01,0.0326,103.264
159644,0.224,1965,0.823,['Frank Sinatra'],0.226,184960,0.186,0,0Yj8rO6Nzuvp3gsAW00BuI,0.0,8,0.112,-10.323,1,Stay With Me,16,1965,0.0297,78.555
119474,0.97,1993,0.645,"['Chalino Sanchez', 'Banda Brava']",0.4370000000000001,245272,0.429,0,64hCnEogVnvLhX33wL6JvL,1.2e-05,8,0.294,-8.248,1,María De La Luz,36,1993-04-14,0.0641,180.915
130711,0.7859999999999999,1969,0.41,['Herb Alpert & The Tijuana Brass'],0.647,135413,0.568,0,1TKiYvCw9jPRIlzdtWS4tF,0.927,9,0.0974,-11.124,1,The Maltese Melody,22,1969-11-01,0.0373,141.799
92539,0.669,1926,0.967,['Reverend J.M. Gates'],0.6,176040,0.29,0,70Wv4ZYGJaFFKVsd5WMm4Q,0.0,0,0.669,-9.367,1,The End Of The World And Time Will Be No More,0,1926,0.15,90.526
31046,0.18,1982,0.7979999999999999,['Larry Carlton'],0.578,275226,0.254,0,7mNV6DQo3Pkvw305WQs9XV,0.966,5,0.0814,-14.193,1,Sleepwalk,46,1982,0.0276,66.642
96145,0.498,1957,0.772,['Ruth Brown'],0.6809999999999999,172267,0.12,0,43kfl5F1Rw6ePsVpQwGWl2,0.000285,7,0.16,-17.586,1,Oh What a Dream,15,1957,0.0369,110.089
162251,0.743,1978,0.000456,['Wings'],0.517,205200,0.562,0,1ibJtEMFHRdhNI38U90NBt,0.0668,2,0.0871,-13.026,0,Cafe On The Left Bank - Remastered 1993,28,1978-03-31,0.0297,130.753
40764,0.955,1937,0.931,"[""Juan D'Arienzo""]",0.8270000000000001,154462,0.369,0,7Eb4rSK9xAHD2xfUiIFPGC,0.574,5,0.172,-11.569,1,El esquinazo,2,1937-04-12,0.379,103.157
93917,0.807,1946,0.984,['Brownie McGhee'],0.742,156400,0.669,0,4DmQdYGB5NuiJlZekpuBaY,0.652,10,0.099,-4.667,1,Evil But Kindhearted,0,1946,0.0418,101.159
102715,0.309,1990,0.5820000000000001,['The Sundays'],0.516,257493,0.444,0,6cwu5ASoTgQVNvUJ09iMnC,0.0939,5,0.218,-8.764,1,Skin & Bones,31,1990-01-01,0.0364,113.328
3385,0.22,1938,0.989,"['Harry James', 'Helen Forrest']",0.222,172187,0.182,0,152Yeo7613uStuDVj0s1Uy,0.0147,10,0.0528,-10.254,1,"I Don't Want To Walk Without You - (from the film ""Sweater Girl"")",1,1938,0.0344,77.062
16372,0.937,2003,0.16,['Less Than Jake'],0.7190000000000001,186267,0.815,0,1iD0a0plhO55cWEJa5UGcZ,0.0,5,0.0367,-3.5460000000000003,1,The Science of Selling Yourself Short,58,2003-05-19,0.0305,93.126
80722,0.933,1962,0.8640000000000001,['Irma Serrano'],0.677,181093,0.508,0,4niw2IRJ7RcGaNPef5UpUv,8.36e-06,4,0.5329999999999999,-7.997999999999997,1,Copitas de Mezcal,23,1962,0.0476,132.92700000000002
80998,0.782,1963,0.994,"['Johann Sebastian Bach', 'Glenn Gould']",0.405,94707,0.277,0,2OodraMlK1o898KizHf4MI,0.8140000000000001,0,0.114,-21.501,0,"Prelude and Fugue No. 2 in C Minor, BWV 847: Fugue",26,1963,0.0518,86.391
78143,0.7440000000000001,1949,0.928,['Lata Mangeshkar'],0.423,166413,0.248,0,0iUO064HsQS02WsglhF5ep,4.320000000000001e-05,10,0.171,-11.584,1,Hans Le Ga Le O Chand Mere,0,1949-08-24,0.0772,78.688
170443,0.564,2019,0.115,['Hozier'],0.456,331013,0.75,1,4byXh93siQtzKLdjKuJaAF,1.6899999999999994e-05,9,0.114,-4.609,0,No Plan,57,2019-03-01,0.0444,80.01899999999998
56793,0.366,2017,0.0283,"['Bebe Rexha', 'Ty Dolla $ign']",0.6559999999999999,197253,0.615,1,4ZJPwET9Jrgpkqi4Vo3Yg8,0.0,5,0.234,-6.252000000000002,1,Bad Bitch (feat. Ty Dolla $ign),66,2017-02-16,0.0539,139.91
1170,0.205,1927,0.995,['Tito Schipa'],0.296,203173,0.111,0,1lV8HLPrGSS3TulK2LYD9V,0.000484,7,0.114,-16.967,1,A Canzone D' 'E Stelle,0,1927,0.0417,124.823
73060,0.595,2010,0.223,"['Rihanna', 'Drake']",0.695,263173,0.782,0,1pYKzfOlpHWtVUiEIu4Vn7,0.0,2,0.0773,-2.967,1,What's My Name?,52,2010-11-15,0.0629,99.992
74085,0.342,2015,0.8909999999999999,"['Langhorne Slim', 'The Law']",0.6679999999999999,161907,0.3670000000000001,0,0gKiONJeEtwb3hps4sUgyn,0.00521,11,0.103,-11.002,1,Changes,59,2015-08-07,0.0285,110.21
9419,0.753,1969,0.0382,['Led Zeppelin'],0.476,166267,0.7170000000000001,0,0QwZfbw26QeUoIy82Z2jYp,7.609999999999999e-05,9,0.0818,-9.192,1,Good Times Bad Times - 1993 Remaster,69,1969-01-12,0.0949,93.584
108154,0.547,2017,0.0539,"['Tyler, The Creator']",0.5489999999999999,206267,0.725,1,430qNtapCS3Ue1yoSql1oV,3.52e-05,1,0.148,-7.239,1,I Ain't Got Time!,62,2017-07-21,0.397,108.822
49652,0.504,1982,0.0483,['Heaven 17'],0.718,262507,0.7829999999999999,0,2VpWQNy9Ywa6rIPX4l54A2,0.00124,10,0.387,-7.189,0,Let Me Go,44,1982,0.0408,106.671
75887,0.89,1930,0.963,['ANTONIS NTALGKAS'],0.606,193000,0.478,0,36ukutBisc3CefUhyFSvCi,0.341,6,0.0637,-8.272,1,Karotseris,0,1930-01-01,0.0588,100.048
155934,0.25,1940,0.944,"['Igor Stravinsky', 'New York Philharmonic']",0.296,140507,0.0688,0,56jsjKZyflOBNFwxTOkGsO,0.000549,2,0.145,-17.313,1,Scènes de ballet: Variations (Danseur & Ballerine),0,1940,0.0387,88.444
88756,0.954,2002,0.841,['Grupo Laberinto'],0.809,236785,0.41,0,62zET4ijkrsSH9A7ooX093,0.0,3,0.274,-6.358,1,El Avión De La Muerte,45,2002-04-05,0.0488,120.757
65621,0.45,1972,0.145,['The Moody Blues'],0.187,310533,0.611,0,1n6T5e4pF0pHSWGo2PQ9mk,0.8290000000000001,5,0.22,-9.277,1,New Horizons,34,1972-11-17,0.0349,157.119
